Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.49,30.642857,30.34,30.572857,26.68133,123432400
2010-01-05,30.657142999999998,30.798571000000003,30.464284999999997,30.625713,26.727465000000002,150476200
2010-01-06,30.625713,30.747142999999998,30.107143,30.138571000000002,26.302329999999998,138040000
2010-01-07,30.25,30.285715000000003,29.864286,30.082857,26.253704,119282800
2010-01-08,30.042856,30.285715000000003,29.865715,30.282858,26.428248999999997,111902700
2010-01-11,30.4,30.428571999999996,29.778571999999997,30.015715000000004,26.195114,115557400
2010-01-12,29.884285,29.967142,29.488571000000004,29.674286,25.897146,148614900
2010-01-13,29.695715000000003,30.132856,29.157142999999998,30.092857000000002,26.262434000000002,151473000
2010-01-14,30.015715000000004,30.065714,29.860001,29.918571000000004,26.11034,108223500
2010-01-15,30.132856,30.228571000000002,29.41,29.418571000000004,25.673977,148516900
2010-01-19,29.761428999999996,30.741428000000003,29.605715000000004,30.719998999999998,26.809748,182501900
2010-01-20,30.701428999999997,30.792856,29.928571999999996,30.247142999999998,26.397084999999997,153038200
2010-01-21,30.297141999999997,30.472857,29.601429,29.724285,25.940775,152038600
2010-01-22,29.540001,29.642857,28.165714,28.25,24.654148,220441900
2010-01-25,28.93,29.242857,28.598571999999997,29.01,25.317411,266424900
2010-01-26,29.421428999999996,30.530001000000002,28.940001000000002,29.42,25.675222,466777500
2010-01-27,29.549999,30.082857,28.504285999999997,29.697144,25.917091,430642100
2010-01-28,29.275715,29.357143,28.385714,28.469998999999998,24.846146,293375600
2010-01-29,28.725714,28.885714,27.178571999999996,27.437143,23.944765,311488100
2010-02-01,27.481428,28.0,27.328571000000004,27.818571000000002,24.277634,187469100
2010-02-02,27.987143,28.045713,27.625713,27.98,24.418516,174585600
2010-02-03,27.881428000000003,28.6,27.774286,28.461428,24.838663,153832000
2010-02-04,28.104286,28.338571999999996,27.367144,27.435715000000002,23.943514,189413000
2010-02-05,27.518572,28.0,27.264286,27.922857,24.368648999999998,212576700
2010-02-08,27.955715,28.268572,27.714284999999997,27.731428,24.201584,119567700
2010-02-09,28.059998999999998,28.214284999999997,27.821428000000004,28.027143,24.459652,158221700
2010-02-10,27.984284999999996,28.085714000000003,27.751428999999998,27.874287,24.326265,92590400
2010-02-11,27.84,28.535715000000003,27.722857,28.381428000000003,24.768839,137586400
2010-02-12,28.301428,28.805714000000002,27.928571999999996,28.625713,24.982042,163867200
2010-02-16,28.848571999999997,29.098571999999997,28.788572,29.057142,25.358553,135934400
2010-02-17,29.17,29.187143,28.694285999999998,28.935715000000002,25.252582999999998,109099200
2010-02-18,28.804284999999997,29.127142,28.702858000000003,28.99,25.299951999999998,105706300
2010-02-19,28.837142999999998,29.028571999999997,28.73,28.809998999999998,25.142870000000002,103867400
2010-02-22,28.905714,28.928571999999996,28.455715,28.631428000000003,24.987026,97640900
2010-02-23,28.571428000000004,28.761428999999996,27.95857,28.151428000000003,24.568123,143773700
2010-02-24,28.318571000000002,28.777143,28.262857,28.665714,25.016949,115141600
2010-02-25,28.197144,28.98,28.127142,28.857143,25.184010999999998,166281500
2010-02-26,28.911428000000004,29.309998999999998,28.857143,29.231428,25.510654000000002,126865200
2010-03-01,29.392857,29.928571999999996,29.35,29.855715000000004,26.055475,137523400
2010-03-02,29.99,30.118571999999997,29.677143,29.835714000000003,26.038023000000003,141636600
2010-03-03,29.848571999999997,29.981428,29.705715,29.904284999999998,26.097862,93013200
2010-03-04,29.897142,30.131428000000003,29.804284999999997,30.101429,26.269913,91510300
2010-03-05,30.705715,31.385714,30.661428000000004,31.278571999999997,27.297226000000002,224905100
2010-03-08,31.43,31.441429,31.178571999999996,31.297141999999997,27.313427,107472400
2010-03-09,31.187143,32.142857,31.127142,31.860001,27.804646999999996,230064800
2010-03-10,31.975714,32.21143,31.885714,32.119999,28.031547999999997,149054500
2010-03-11,31.987143,32.214287,31.902857,32.214287,28.113834000000004,101425100
2010-03-12,32.481429999999996,32.532856,32.25,32.371429,28.250973,104080900
2010-03-15,32.197144,32.214287,31.464284999999997,31.977141999999997,27.906878000000003,123375700
2010-03-16,32.025715000000005,32.139998999999996,31.787144,32.064285,27.982925,111727000
2010-03-17,32.128571,32.349998,31.895714,32.017143,27.941782,112739200
2010-03-18,32.014286,32.142857,31.801428,32.092857,28.007864,85527400
2010-03-19,32.112858,32.177143,31.604286,31.75,27.708637,139861400
2010-03-22,31.495714000000003,32.285713,31.450001,32.107143,28.020332,114104900
2010-03-23,32.234287,32.682858,32.014286,32.622856,28.4704,150607800
2010-03-24,32.52,32.885715000000005,32.501427,32.767143,28.596317,149445100
2010-03-25,32.988571,32.995715999999994,32.32143,32.378571,28.257208000000002,135571100
2010-03-26,32.707142,33.135715000000005,32.650002,32.985714,28.787071,160218800
2010-03-29,33.285713,33.41,33.088570000000004,33.198570000000004,28.972826,135186100
2010-03-30,33.799999,33.925713,33.464287,33.692856,29.404207,131827500
2010-03-31,33.64143,33.801429999999996,33.494285999999995,33.57143,29.298233000000003,107664900
2010-04-01,33.915714,34.104286,33.25,33.709998999999996,29.419161,150786300
2010-04-05,33.568573,34.072857,33.53857,34.07,29.733339,171126900
2010-04-06,34.028572,34.32,33.857143,34.220001,29.864252,111754300
2010-04-07,34.221428,34.560001,34.094284,34.371429,29.996407,157125500
2010-04-08,34.348572,34.505714000000005,34.005714000000005,34.278572,29.915356,143247300
2010-04-09,34.490002000000004,34.555714,34.351428999999996,34.541428,30.144762,83545700
2010-04-12,34.599998,34.724284999999995,34.544284999999995,34.612858,30.207103999999998,83256600
